comment,scale
Tento hands-free reproduktor BlueAnt Supertooth je ÚŽASNÝ.  ,1
Nesedí.  ,0
Položka prišla rýchlo a funguje skvele s mojím vysúvacím telefónom Metro PCS Samsung SCH-r45  a štupľami do uší Sony Premium Sound.  ,1
"Je ľahký, má dostatočnú kapacitu batérie a je veľmi pohodlný na dlhšie nosenie.  ",1
sklamaním.  ,0
Blue Ant sa ľahko používa.  ,1
"Lacné, ale hej, funguje to.. Bol príjemne prekvapený vzhľadom na nízke náklady na túto položku.  ",1
Fotoaparát na telefóne možno použiť ako lopatku na prach v interiéri... Radšej by som použil jednorazový ako toto.  ,0
O niekoľko dní neskôr z telefónu počas používania vyšiel obláčik dymu.  ,0
Je to veľmi pohodlné a jednoduché použitie – zvládne svoju prácu a vďaka tomu je jazda v aute oveľa plynulejšia.  ,1
Povedal to nano. Môj syn bol sklamaný.  ,0
Výborná je aj kvalita zvuku.  ,1
"Je to najlepší headset, aký som kedy použil.  ",1
Neodporúčam.  ,0
"Existujú už roky a majú najvyššiu kvalitu ochrany obrazovky proti oslneniu, akú som doteraz našiel.  ",1
"Presne to, čo som chcel.  ",1
Tento konkrétny model nebude fungovať s mojím smartfónom Motorola Q.  ,0
nebude fungovať správne alebo aspoň pre mňa.  ,0
"navyše sa cíti &amp; Vyzerá to, že telefón je celý z ľahkého lacného plastu.  ",0
"Ale teraz, keď je „po záruke“, rovnaké problémy sa opakujú. Zrátané a podčiarknuté... dajte svoje peniaze niekde inde... Cingular to nebude podporovať.  ",0
"Naozaj som chcel, aby Plantronics 5   bol ten pravý, ale má pre mňa príliš veľa problémov. Dobrá  ",0
Skvelý produkt.  ,1
Ostré a jasné.  ,1
Po prvom nabití sa po  2 minútach odbila.  ,0
"VEĽMI lacný plast, vŕzga ako stará drevená podlaha.  ",0
"Mám úplne otrasný príjem v mojom byte, kde som s inými telefónmi tento problém nemal.  ",0
Prijatie bolo vo všeobecnosti dobré.  ,1
"Vynikajúci zvuk, výdrž batérie a nenápadný pri štarte!.  ",1
Skvelé bluetooth!.  ,1
Vrelo odporúčam tento prípad.  ,1
ZA TO STOJÍ.  ,1
To je skvelá vec.  ,1
"Keď mal môj telefón asi rok, pomaly sa rozbíjal aj napriek veľkej starostlivosti z mojej strany.  ",0
"Ľutujem, že som urobil tento nákup.  ",0
"Kúpil som si ich v nádeji, že sa mi podarí lepšie prispôsobiť náhlavnú súpravu Bluetooth, ale tieto veci znemožňovali nosenie.  ",0
Treo a T-Mobile ho odmietli znova vymeniť a prinútili ma kúpiť si iný telefón bez akejkoľvek zľavy na upgrade.  ,0
Bolo to strašné!.  ,0
"Nemyslím si, že by to držalo na opasku príliš bezpečne.  ",0
To umožňuje dvojitú rezerváciu na rovnaký dátum a čas po prvej.  ,0
Fungujú asi 2 týždne a potom sa zlomia.  ,0
Je to jednoduché na používanie a páči sa mi to.  ,1
"Je to skvelý nástroj na zábavu, komunikáciu a správu údajov. Určite použite ActiveSync 4.2 pre optimálne výsledky synchronizácie údajov!  ",1
"Toto puzdro nemôžem použiť, pretože vôňa je nechutná.  ",0
"NIE TO, ČO SOM CHCEL.  ",0
Vlastním 2 z týchto obalov a objednal by som si ďalšie.  ,1
Skvelý telefón.  ,1
Kúpil som si túto batériu s kupónom od Amazonu a som s nákupom veľmi spokojný.  ,1
"Prístup na internet bol v poriadku, bol to zriedkavý prípad, že to fungovalo.  ",0
Ideálne pre PS3.  ,1
"Päť hviezdičiek Plus, plus.  ",1
"Kvalitný obchod. Kúpil som si to potom, čo som si kúpil lacno od Big Lots, čo znelo hrozne a ľudia na druhej strane ma nepočuli.  ",1
5  dolárov dole vodou.  ,0
"Skúšal som hovoriť naozaj nahlas, ale kričať do telefónu je staré a stále mi bolo povedané, že to nie je skvelé.  ",0
"Dobré, funguje dobre.  ",1
Za tú cenu to bola skvelá ponuka.  ,1
Skvelá cena tiež!  ,1
"Ak je vietor, je to úplne zbytočné.  ",0
"Áno, je to lesklé na prednej strane - a to sa mi páči!  ",1
Nefunguje.  ,0
"Najprv som si myslel, že zarábam za dobrú cenu 7,44 USD, kým som ho nezapojil do telefónu (V3c Razr).  ",0
Príjem cez tento headset je výborný.  ,1
2 palce hore tomuto predajcovi  ,1
"Mám telefón Verizon LG a fungujú spolu dobre, dobrý príjem a dosah, ktorý presahuje zornú vzdialenosť 2  stôp.  ",1
Nevhodný popis.... Musel som ho vrátiť.  ,0
#  Funguje to - #2 Je to pohodlné.  ,1
Výdrž batérie je pomerne dlhá.  ,1
Ušné gély Jabra EarGels mi veľmi dobre sedia.  ,1
Batéria nemá životnosť.  ,0
"Skontroloval som všade a neexistuje pre to žiadna funkcia, čo je naozaj sklamaním.  ",0
"Produkt je presne taký, ako je popísaný.  ",1
"Získa signál, keď ho ostatné telefóny Verizon nezískajú.  ",1
Nerobí prácu.  ,0
odporučil by som to.  ,1
Plánujte si od nich objednávať znova a znova.  ,1
"Ako už bolo povedané, na telefóne je fotoaparát veľmi pekný; veľa skvelých efektov na hranie a video je tiež slušné.  ",1
S týmto mobilom som od prvého dňa veľmi spokojný.  ,1
Sú stále lepšie a lepšie (toto je môj tretí a tiež som mal veľa dlaní).  ,1
Nepohodlné na používanie a nespoľahlivé.  ,0
Dodacia lehota bola tiež veľmi rýchla!  ,1
"Nie také dobré, ako som dúfal.  ",0
Dobrý prípad!.  ,1
nefunguje.  ,0
Naozaj dobrý produkt.  ,1
Bohužiaľ to nefungovalo.  ,0
Všetky tri sa pokazili do dvoch mesiacov používania.  ,0
nekupuj to.  ,0
Môj otec má V265 a batéria sa vybíja.  ,0
Náušníky sa však ľahko odlepujú a už po týždni som jeden stratil.  ,0
"Hovory klesajú, telefón sa ľubovoľne zapína a vypína, obrazovka stmavne a čo je najhoršie, prestane prerušovane zvoniť.  ",0
"Hrozný, strašný ochranca.  ",0
Ani mne sa táto Nokia nepáči.  ,0
"Siahnúť na spodný rad je nepohodlné a klávesy Send a End nie sú tam, kde by som ich očakával.3.  ",0
Kúpil som si tento mobilný telefón Nokia pred niekoľkými týždňami a bola to nočná mora.  ,0
"Opísať, aké zlé sú moje skúsenosti so službami zákazníkom s Amazonom, by trvalo príliš dlho.  ",0
"jediná VEĽMI SKLAMAVÁ vec bola, že tam nebol HLASITÝ TELEFÓN!!!!  ",0
Strašné. Moje auto neprijme túto kazetu.  ,0
"Produkt je zbytočný, pretože nemá dostatočný nabíjací prúd na nabitie 2 mobilných telefónov, s ktorými som ho plánoval použiť.  ",0
"Nie je to tak, ako sa hovorí.  ",0
Drž sa ďalej od Q!.  ,0
Použité a špinavé.  ,0
Veľmi nespoľahlivá služba od T-mobile!  ,0
Nie dosť dobré za cenu.  ,0
Kúpil som si dva z nich a ani jeden nebude účtovať.  ,0
Vyzerá to veľmi pekne.  ,1
"Je to vynikajúci nástroj, najmä ak je spárovaný s automatickou odpoveďou vášho telefónu.  ",1
"Čítal som tu recenzie iných, ale nemal som s tým problém.  ",1
Pohodlne do ruky.  ,1
Proste nefunguje.  ,0
Slabá spoľahlivosť.  ,0
(funguje to!)  ,1
"Ak odfotím, batéria klesne o pruh a začne pípať, čím mi dáva vedieť, že vybíja.  ",0
Hrozný produkt a vyhodené peniaze!  ,0
Naposledy som u vás nakupoval.  ,0
Boli to vyhodené peniaze.  ,0
Doteraz to fungovalo ako kúzlo.  ,1
"Mám ho len pár týždňov, ale zatiaľ je dobrý.  ",1
"Ale v každom prípade, najlepšie na tom je, že si tieto obrázky môžete stiahnuť do svojho notebooku pomocou IR, alebo dokonca poslať obrázky z notebooku do telefónu.  ",1
Odporučil by som túto položku.  ,1
Boli to moje obľúbené slúchadlá už roky. Skvelý zvuk; dobrý objem; dobré potlačenie hluku.  ,1
"Pekné puzdro, dobre sa drží v rukách.  ",1
Prijatá položka bola falošná.  ,0
"Naozaj dobré.. Zatiaľ asi najlepší BT headset, aký som kedy mal.  ",1
Funguje dobre.  ,1
Slúchadlá som dostal včas a bol som s nimi spokojný.  ,1
"Veľmi ma potešilo, keď som videl, že môžem nahradiť svoje dobre cestovateľné otočné puzdro za môj Blackberry flip.  ",1
Moja sestra ho má tiež a veľmi sa jej páči.  ,1
Dobrá kvalita.  ,1
"Toto je zďaleka najhorší nákup, aký som na Amazone urobil.  ",0
Vynikajúci dvojúčelový headset.  ,1
Výborne!.  ,1
Nefunguje pri počúvaní hudby s cingular 8 25.  ,0
"Zdá sa, že je úplne bezpečný, drží sa na mojom opasku a drží iPhone vo vnútri.  ",1
"Spodná línia... ďalší bezcenný, lacný trik od Sprint.  ",0
Problémy s hlasitosťou.  ,0
"Jediná dobrá vec bola, že pohodlne sedí na malých ušiach.  ",1
UPOZORNENIE - NEKUPOVAŤ!!.  ,0
Spárujem to s mojím iphone a zatiaľ som s ním nemohol byť šťastnejší.  ,1
"Keď sa otvorí, spojenie batérie sa preruší a zariadenie sa vypne.  ",0
"Nechcel som, aby mi klip presahoval cez vrch ucha a spôsoboval nepohodlie.  ",0
Najlepšie slúchadlá vôbec!!!.  ,1
Neverte ich webovým stránkam a nečakajte žiadnu užitočnú podporu.  ,0
"Bolo to tak nahlas. Som rád, že môžem povedať, že Plantronics 5   udržiava bezchybné spojenie s mojím mobilom a bez statického náboja počas bežného používania.  ",1
"Reproduktor je nízkej kvality, takže vyzváňacie tóny znejú veľmi lacno.  ",0
"Pohodlne sedí, dodáva sa s tromi veľkosťami koncoviek slúchadiel.  ",1
Vyborny produkt za tu cenu.  ,1
Zlý príjem.  ,0
Tento produkt je veľmi kvalitný čínsky kecy!!!!!!  ,0
V uchu to bolo celkom pohodlné.  ,1
Skvelý telefón.  ,1
Nekupujte tento produkt - zlyhá!.  ,0
Všetko o tomto produkte je nesprávne. Prvých  ,0
"Spárovanie týchto dvoch zariadení bolo také jednoduché, že trvalo sotva pár minút, kým som začal telefonovať pomocou funkcie hlasového vytáčania.  ",1
"Spočiatku to bolo úplne mätúce, čo spôsobilo, že som stratil niekoľko veľmi, veľmi dôležitých kontaktov.  ",0
Strašný držiak na telefón.  ,0
Výrezy a gombíky sú umiestnené perfektne.  ,1
"Páči sa mi, že môžem používať jeden headset pre pevnú linku aj mobil.  ",1
"Problém je, že ušné slučky sú vyrobené zo slabého materiálu a ľahko sa zlomia.  ",0
"Ani zďaleka nevyzerá tak dobre, ako to vyzerá na obrázku AMAZON.  ",0
Ale aj napriek týmto niekoľkým chybám má toto puzdro výnimočnú kvalitu a stojí za dodatočné náklady na vlastníctvo oficiálneho produktu OEM.  ,1
Aké je to hlúpe?  ,0
Počas jazdy v aute počujem a zvyčajne ho ani nemusím dávať na najhlasnejšie nastavenie.  ,1
Predajca doručil rýchlo a oveľa lacnejšie ako konkurencia.  ,1
"Dobrá show, Samsung.  ",1
Tak som si ich kúpil asi    a ušetril som veľa peňazí.  ,1
"Vždy sa vypne a vydá pípnutie píp pípnutie a potom oznamuje, že signál zlyhal.  ",0
Nepodarilo sa mi to zistiť  ,0
"Môj telefón znel dobre (nie dobre - OK), ale telefón mojej manželky bol takmer úplne nezrozumiteľný, nerozumela ani slovo, ktoré sa na ňom hovorilo.  ",0
"Takže som musel vybrať batériu z telefónu, dať to všetko späť dohromady a potom ho reštartovať.  ",0
"Zatiaľ čo sa mi podarilo ohnúť listovú pružinu späť na miesto, kov je teraz dostatočne namáhaný, že sa pri ďalšom páde zlomí.  ",0
Leopard Print je nádherne divoký!.  ,1
Pracuje pre mňa.  ,1
"Ovisnutý, poddajný kus odpadu.  ",0
oveľa lepšie ako tvrdé plastové obaly.  ,1
Tiež to malo nový problém.  ,0
Zatiaľ šťastný!.  ,1
cool telefón.  ,1
Funguje dobre.  ,1
Motorola konečne dostala správnu kvalitu hlasu bluetooth headsetu.  ,1
"Stráca spojenie s telefónom, aj keď je medzi nimi niekoľko stôp.  ",0
"ale je to skvelé, naozaj by som to odporučil  ",1
"Uľahčuje to držať krok s mojím bluetooth, keď ho nemám na sebe.  ",0
Ako som povedal vyššie....Dosť nepoužiteľné!  ,0
Nikdy som to nepochopil!!!!!  ,0
"Zvukovo sú tieto slúchadlá najhoršie, aké som kedy mal.  ",0
[...] do odtoku kvôli slabému cvaknutiu!  ,0
Nenabíja telefón Cingular (ATT) 8525.  ,0
"Získate minúty navyše, aby ste mohli uskutočniť hovor a nezostali prerušení.""  ",1
Asi po roku sa však fliptop začal uvoľňovať a kývať a nakoniec moja obrazovka stmavla a nemohol som prijímať ani uskutočňovať hovory.  ,0
"Stále som chytal kábel o sedadlo a musel som vytiahnuť telefón, aby som ho zapol.  ",0
"Headset spĺňa moje požiadavky, takže som s nákupom spokojný.  ",1
Logitech Bluetooth Headset je   !.  ,1
"Páči sa mi, že je skôr pri uchu než vo vnútri.  ",1
Veľa webových stránok ohodnotilo tento telefón ako veľmi dobrý a ja tiež.  ,1
Skúšal som tieto káble s počítačom a iPodom a funguje to dobre.  ,1
Mikrofón je vtipný a hlasitosť je dosť nízka.  ,0
Vraciam ich.  ,0
"Neudržiavam spojenie s počítačom, keď je na kolenách.  ",0
"Je ľahké ho zapnúť a vypnúť, keď ste v aute a ovládanie hlasitosti je celkom prístupné.  ",1
Svoje mám asi rok a na Vianoce som nejaké kúpil pre zvyšok rodiny.  ,1
"Inak jednoduchá inštalácia a použitie, čistý zvuk.  ",1
pekná koža.  ,1
Musel som si kúpiť iné puzdro.  ,0
Je to radosť používať.  ,1
Veľmi sklamaný z tejto spoločnosti.  ,0
Veľmi spokojný s tým.  ,1
Neúčtovalo mi to.  ,0
Toto je telefón na rok 2  5... Práve som si kúpil svoj S7  a a môžem povedať len WOW!  ,1
Tlačidlá sú príliš malé.  ,0
Už len pri čítaní špecifikácií si poviete WOW.  ,1
Páči sa mi to.. Skvelá páska na ruku.  ,1
"Naozaj sa mi páči tento produkt v porovnaní s Motorolou, pretože je na slúchadlách a mikrofóne výraznejší.  ",1
"Klávesnice sú však také plechové, že občas dosiahnem na nesprávne tlačidlá.  ",0
Vymenil som sony ericson z5  a za toto a som s týmto rozhodnutím celkom spokojný.  ,1
Veľmi ma zaujala cena puzdier.  ,1
Tiež uľahčuje držanie.  ,1
"Tento produkt používam v riadiacom centre motora, kde je zo zariadenia veľa bzučania vysokého napätia a funguje skvele!  ",1
Je to celkom jednoduché.  ,1
Nemôžem volať na určité miesta.  ,0
"moje dievča sa však sťažovalo, že sa telefón nejaký čas nezobudí ako normálny telefón.  ",0
Krásny styling však.  ,1
Táto spoločnosť mi účtuje poplatok za doplnenie zásob a stále mi nevrátila peniaze.  ,0
Snažím sa to vrátiť a vrátiť peniaze.  ,0
"Zapojil som ho len preto, aby som zistil, že nič nefunguje.  ",0
Vyborny produkt.  ,1
Slúchadlo sa ľahko zlomí.  ,0
Mizerný produkt.  ,0
"Tento telefón sa veľmi snaží robiť všetko, ale zlyháva vo svojej schopnosti byť telefónom.  ",0
Je to zatiaľ najlepšia nabíjačka akú som na trhu videl.  ,1
NAJSLADŠÍ TELEFÓN!!!  ,1
":-)Och, zdá sa, že nabíjačka funguje dobre.  ",1
"Sedí tak bezpečne, že háčik na ucho ani nie je potrebné použiť a zvuk je lepšie smerovaný cez zvukovod.  ",1
Nedostatočný objem.  ,0
Problém ozveny....veľmi neuspokojivé  ,0
mohli ste urobiť iba 2 videá naraz a kvalita bola veľmi nízka.  ,0
neplytvaj peniazmi.  ,0
"Budem musieť byť prvý, kto negatívne ohodnotí tento produkt.  ",0
Adaptér neposkytuje dostatočný nabíjací prúd.  ,0
"Okolo tohto telefónu bol taký humbuk, že som si myslel, že je to najlepšie, moja chyba.  ",0
"V puzdre sa s ním tiež nedá fotiť, pretože je zakrytý objektív.  ",0
Telefón ľahko vypadne.  ,0
"Nefungovalo to, ľudia ma nepočujú, keď hovorím.  ",0
Používanie funkcie textových správ je naozaj zložité.  ,0
"Som naozaj sklamaný, teraz mám iba nabíjačku, ktorá nefunguje.  ",0
Bolestivé na uchu.  ,0
Vydržal jeden deň a potom vybuchol.  ,0
sklamaný.  ,0
Akési prepadáky okolo.  ,0
"Obrazovka sa ľahko rozmaže, pretože sa dotýka ucha a tváre.  ",0
Aká zbytočnosť... Na tomto telefóne strácam viac hovorov.  ,0
Položka nezodpovedá obrázku.  ,0
Jediné čo ma sklamalo je infra port (irda).  ,0
"S jednotkou nemôžete prijímať hovory, nikdy nefungovala!  ",0
"Veľmi, veľmi, veľmi pomaly plynúci, bezcieľny film o utrápenom, unášanom mladom mužovi.  ",0
"Nie ste si istí, kto bol stratenejší - ploché postavy alebo publikum, z ktorých takmer polovica odišla.  ",0
Pokus o umenie s čiernobielym a šikovnými uhlami kamery film sklamal – stal sa ešte smiešnejším – keďže herecké výkony boli slabé a dej a línie takmer žiadne.  ,0
Veľmi málo hudby alebo čohokoľvek iného.  ,0
"Najlepšia scéna vo filme bola, keď sa Gerardo snaží nájsť pieseň, ktorá mu stále behá hlavou.  ",1
"Zvyšku filmu chýba umenie, šarm, zmysel... Ak je to o prázdnote, funguje to hádam preto, že je prázdny.  ",0
Stratené dve hodiny.  ,0
"Dnes som videl film a myslel som si, že to bolo dobré úsilie, dobré správy pre deti.  ",1
Trochu predvídateľné.  ,0
Páčilo sa mi obsadenie Jimmyho Buffeta ako učiteľa prírodných vied.  ,1
A tie sovy boli rozkošné.  ,1
"Film ukázal veľa z Floridy v tom najlepšom, vďaka čomu vyzeral veľmi príťažlivo.  ",1
Piesne boli najlepšie a Muppets boli tak veselí.  ,1
Bolo to tak cool.  ,1
"Toto je veľmi „priamy“ film, ktorý vám prináša všetko takmer priamo do tváre.  ",1
"Malo to priemerné herecké výkony od hlavnej osoby a ako jasne vidíte, bol to nízky rozpočet.  ",0
"Táto recenzia je už dávno hotová, pretože Príbeh dvoch sestier považujem za najlepší film, aký bol kedy natočený.  ",1
"Tento skvost postavím proti akémukoľvek filmu, pokiaľ ide o scenár, kameru, herectvo, postprodukciu, strih, réžiu alebo akýkoľvek iný aspekt filmovej tvorby.  ",1
Vo všetkých je prakticky dokonalý – skutočné majstrovské dielo v mori falošných majstrovských diel.  ,1
„Štruktúra tohto filmu je jednoducho najpresnejšie postavená v histórii kinematografie.  ,1
"Nenapadá ma žiadny iný film, v ktorom sa každú druhú minútu stane niečo životne dôležité.  ",1
"Inými slovami, obsahová úroveň tohto filmu je dostatočná na to, aby bez problémov zaplnil tucet ďalších filmov.  ",1
Ako môže niekto so zdravým rozumom chcieť od filmu niečo viac ako toto?  ,1
"Je to jednoducho najvyššia, najsuperlatívnejšia forma kina, akú si možno predstaviť.  ",1
"Áno, tento film vyžaduje pomerne značné množstvo riešenia hádaniek, no jednotlivé časti do seba zapadajú a vytvárajú krásny obraz.  ",1
Tento krátky film rozhodne nezaujme.  ,0
Grafika nie je ani zďaleka najlepšia časť hry.  ,0
Toto je najlepšia TH hra číslo jedna v sérii.  ,1
Zaslúži si silnú lásku.  ,1
Je to šialená hra.  ,1
"Sú tu masívne úrovne, masívne odomykateľné postavy... je to proste masívna hra.  ",1
Utrácajte peniaze za túto hru.  ,1
"Toto sú peniaze, ktoré sa vyhodia správne.  ",1
V skutočnosti bola grafika na tú dobu dobrá.  ,1
Dnes je grafika na hovno.  ,0
"Ako sa hovorí v Kanade, toto je zábavná hra, áno.  ",1
Táto hra je skalná.  ,1
"Kúpte si to, hrajte, užívajte si to, milujte to.  ",1
Je to ČISTÁ BRILITA.  ,1
Toto bol film odsúdený na zánik od svojho počatia.  ,0
"Samotná myšlienka bola chabá - vziať vedľajšiu postavu z priemerného filmu PG- 3 a urobiť úplné pokračovanie, pričom jeho tón sa zmení na rodinný film s hodnotením PG.  ",0
Nezaujal ma ani trochu.  ,0
"Nielenže to potvrdilo, že film bude nevtipný a všeobecný, ale podarilo sa mu rozdať aj CELÝ film; a to nepreháňam – každý moment, každá pointa, každý vtip je vyrozprávaný v traileri.  ",0
Ale to jednoducho nie je vtipné.  ,0
Toto však nezachráni ani talentovaný Carrell.  ,0
"Jeho spoluhráči na tom nie sú o nič lepšie, pretože ľudia ako Morgan Freeman, Jonah Hill a Ed Helms sú len zbytoční.  ",0
Samotný príbeh je len predvídateľný a lenivý.  ,0
"Jediným skutočným efektom je prítomnosť všetkých zvierat a ich integrácia do scén je jednou z najhorších a najočividnejších prác na modro-zelenej obrazovke, akú som kedy videl.  ",0
"Ale nech ich to stálo tak veľa, nepremietlo to do kvality, to je isté.  ",0
"Filmu sa to darí aj napriek, alebo možno práve preto, zjavne mizernému rozpočtu.  ",1
"Som rád, že film nezvolil najjasnejšiu voľbu, ako by to určite urobil aj menší film.  ",1
"Okrem jednej z najkrajších piesní, aké kedy boli napísané, sa francúzsky Cancan môže pochváliť aj jednou z najroztomilejších popredných dám, aké kedy zdobili obrazovku.  ",1
Je ťažké sa do toho dievčaťa bezhlavo nezamilovať.  ,1
"Na druhej strane je to dosť nevýrazné, aby to spôsobilo ľútosť za ďalšie 2 hodiny premárneného života pred obrazovkou.  ",0
"Dlhé, šibnuté a nezmyselné.  ",0
"Ale odporúčam počkať na ich budúce snahy, toto nechaj.  ",0
"Skvelé herecké obsadenie, dej, herecké výkony.  ",1
Úplne uveriteľné.  ,1
Anne Heche bola úplne presvedčivá.  ,1
Stvárnenie gung ho Marinea Sama Sheparda bolo vytriezvenie.  ,1
Sedel som prikovaný k televíznej obrazovke.  ,1
Celkovo tomuto dávam rozhodných 9 z   .  ,1
"Myslím si, že Tom Hanks je dobrý herec.  ",1
"Túto knihu som rada čítala svojim deťom, keď boli malé.  ",1
Film ma veľmi sklamal.  ,0
"Jedna postava je úplne otravná s hlasom, ktorý mi dáva pocit ako nechty na tabuli.  ",0
V týchto scénach alebo postavách nebolo absolútne žiadne teplo alebo šarm.  ,0
Tento film mi totálne lezie na nervy.  ,0
"Herecké výkony sa improvizáciou nezlepšujú, pretože herci majú teraz dvojnásobné starosti: nielen to, či dobre prednesú repliku, ale aj to, či je samotná linka dobrá.  ",0
"A, celkom úprimne, často to nie je príliš dobré.  ",0
"Dialóg často skutočne nenadväzuje z jednej línie na druhú, prípadne nezapadá do okolia.  ",0
"Praská nepredvídateľnou, mladistvou energiou - ale úprimne, bolo pre mňa ťažké sledovať a sústrediť sa na to, že sa to tak zle vinie.  ",0
Je v ňom niekoľko všeobecne skvelých vecí.  ,1
"Nepovedal by som však, že stoja za 2 hodiny vášho času.  ",0
Budovatelia napätia boli dobrí a jednoducho prekročili hranicu z G do PG.  ,1
"Obzvlášť sa mi páčili neklišé voľby s rodičmi; v iných filmoch som mohol predpovedať dialóg doslovne, ale písanie v tomto filme urobilo lepšie výbery.  ",1
"Ak chcete film, ktorý nie je hrubý, ale naskakuje vám zimomriavky, je to skvelá voľba.  ",1
Alexander Nevsky je skvelý film.  ,1
"Je to úžasný filmový umelec, jeden z najdôležitejších, ktorí kedy žili.  ",1
"Som rád, že tento honosný kus s***a nevyšiel tak, ako plánovali Dodge stratus Big Shots... Pomôže to filmovým tvorcom, ktorí nie sú vo veľmi zdržanlivom „filmovom biznise“ v Québecu.  ",0
"Toto je prvý film, ktorému som po rokoch dal   .  ",1
"Ak niekedy existoval film, ktorý potreboval na propagáciu ústne vyjadrenie, je to tak.  ",1
Celkovo je film zaujímavý a na zamyslenie.  ,1
Navyše to malo dobré tempo a vyhovovalo jej relatívne krátkej dobe trvania.  ,1
Pozrite sa na tento.  ,1
Dal som tomu    ,1
Vietor a lev je dobre napísaný a skvele zahraný.  ,1
Je to skutočná klasika.  ,1
"V skutočnosti sa ukázalo, že je to celkom slušné, pokiaľ ide o béčkové hororové/napínavé filmy.  ",1
Určite sa oplatí pozrieť.  ,1
Problémom bol scenár.  ,0
Bolo to strašné.  ,0
Vôbec NIČ na tom nebolo uveriteľné.  ,0
"Jediné napätie, ktoré som cítil, bola frustrácia z toho, aké retardované dievčatá boli.  ",0
"MANNA Z NEBA je úžasný film, ktorý je predvídateľný a nepredvídateľný zároveň.  ",1
"Scény sú často vtipné a občas dojímavé, keď postavy hodnotia svoj život a kam smerujú.  ",1
Herecké obsadenie je viac než len nostalgický výlet.  ,1
"Stvárnenie mníšky Ursuly Burtonovej je dojímavé a vtipné zároveň bez toho, aby si zosmiešňovalo mníšky alebo cirkev.  ",1
"Ak hľadáte film s úžasným hereckým obsadením, dobrou hudbou (vrátane prevedenia „The Way You Look Tonight“ od Shirley Jonesovej) a povznášajúcim koncom, vyskúšajte tento.  ",1
"Nemyslím si, že budeš sklamaný.  ",1
"Úprimne povedané, po Cotton clube a Unfaithful bolo trochu trápne pozerať sa na Lanea a Gera v tomto filme, pretože je to ZLÉ.  ",0
"Herecké výkony boli zlé, dialógy mimoriadne plytké a neúprimné.  ",0
"Bolo to príliš predvídateľné, dokonca aj na kuriatko.  ",0
Príliš politicky korektné.  ,0
Veľmi sklamaním.  ,0
"Jediné, čo sa naozaj oplatilo sledovať, bola scenéria a dom, pretože je nádherný.  ",1
"Milujem Lane, ale nikdy som ju nevidel v tak mizernom filme.  ",0
Hodinu a pol by som si prial vrátiť späť.  ,0
Ale z hľadiska písania je to veľmi svieže a odvážne.  ,1
Herecké výkony veľmi dobre pomáhajú pri písaní (možno tá idiotská sestra mohla byť zahraná lepšie) a je naozaj radosť sa na to pozerať.  ,1
Réžia a kamera nie sú až také dobré.  ,0
"Film bol taký nudný, že som sa niekedy pristihla pri tom, že namiesto pozerania špikujem v novinách (to sa ešte nikdy nestalo počas filmu Columbo!  ",0
"), a niekedy to bolo také trápne, že som musel odvrátiť zrak.  ",0
Réžia pôsobí príliš prepychovo.  ,0
"Scény s ""och-tak-zrelou"" susedkou sú na mieste.  ",0
A celkovo sú línie a zápletka slabšia ako priemerná epizóda.  ,0
"Potom scéna, kde debatovali o tom, či majú alebo nemajú vyhodiť trubkára (ktorý bol falošne obvinený z vraždy), je čistý horor, naozaj hlúposť.  ",0
„Predhre“ by sa však malo venovať potlesku.  ,1
To sa mi veľmi páčilo.  ,1
Skvelý film od skvelého režiséra.  ,1
Film vás posadil na kraj sedadla a trochu ste sa báli ísť na konci noci do auta.  ,1
Hudba vo filme je tiež naozaj pekná.  ,1
"Odporúčam každému, aby sa tam išiel pozrieť.  ",1
Skvelé!  ,1
  /    ,1
Tento film sa mi až príliš páčil.  ,1
"Môj jediný problém je, že som si myslel, že hercom, ktorý hrá záporáka, bol Michael Ironside s nízkym nájomným.  ",0
"Otriaslo to mojím svetom a určite ho musí vidieť každý, kto nemá sociálne alebo fyzické možnosti.  ",1
"To však nevynahradilo skutočnosť, že celkovo to bol ohromne nudný film.  ",0
"Vo filme bolo niekoľko momentov, ktoré tam jednoducho byť nemuseli a pohybovali sa neznesiteľne pomaly.  ",0
"Toto bol slabý remake ""My Best Friends Wedding"".  ",0
"Celkovo vzaté, veľké sklamanie.  ",0
"Nemôžem uveriť, že herci súhlasili s natáčaním tohto „filmu“.  ",0
"Nevydržal som to ani pozerať veľmi dlho zo strachu, že stratím I.Q.  ",0
"Myslím, že nikto v sieti, ktorá vysielala tento dribling, ho pred nasadením nepozeral.  ",0
"Hodnotenia IMDB klesajú len na   za hrozné, je čas uviesť nejaké záporné čísla pre prípady, ako sú tieto.  ",0
"Včera večer som videl ""Mirrormask"" a bol to neuspokojivý zážitok.  ",0
"Žiaľ, neskúsenosť réžie znamenala, že scéna za scénou prechádzala s malým množstvom dramatického napätia alebo konfliktu.  ",0
"To sú ústredné témy filmu a sú spracované nešikovne, stereotypne a bez hĺbky predstavivosti.  ",0
"Všetky pekné obrázky na svete nemôžu nahradiť kus práce, ktorá je v jadre chybná.  ",0
"Je to hodina a pol strata času, sledovať veľa pekných stredoškolákov, ktorí kňučia a plačú o živote.  ",0
"Nemôžete sa s nimi stýkať, do pekla im sotva rozumiete.  ",0
"Toto je určite kultová klasika, ktorú stojí za to vidieť a zdieľať s ostatnými.  ",1
